image,psnr_baseline,ssim_baseline,psnr_srcnn,ssim_srcnn
img_001,31.228756255030955,0.35537488362208675,22.615717866083408,0.9133981595739525
img_002,31.39334290371294,0.3879807852374531,22.21781177229293,0.9067868069064476
img_003,31.206569034029883,0.35468586129047136,22.29533602656162,0.9081306743013706
img_004,31.29521517806793,0.3708526376180446,22.065591499811074,0.9032672063483198
img_005,30.76668294991062,0.2696838567945506,23.223363183719364,0.9262070290192779
img_006,32.46946819098336,0.5517640212217779,21.08734370999578,0.8834943682186274
img_007,31.730339330736346,0.44300007796903745,21.727648077431915,0.8968290124010394
img_008,30.676731166233573,0.24622181031377516,23.989787517197936,0.9379616919918455
img_009,32.265963505420245,0.5243751488395324,21.195864724969322,0.8798442409679852
img_010,31.348893055233912,0.38168945640116014,22.113723790908647,0.9053809626943794
